Species	inBoxMovingMode	Artifact	Move Items?
28F0	35	Bad egg	No
28F1	35	Bad egg	No
28F2	35	Bad egg	No
28F3	35	Bad egg	No
28F4	35	Bad egg	No
28F5	36	Bad egg	No
28F6	28	Bad egg	No
28F7	35	Bad egg	No
28F9	36	Bad egg	No
28FD	37	Bad egg	No
28FF	28	Bad egg	No
2900	35	Invisible bad egg	No
2901	28	Bad egg	No
2902	37	Bad egg	No
2903	37	Bad egg	No
2904	35	Bad egg	No
2905	36	Bad egg	No
2907	28	Bad egg	No
2908	35	Bad egg	No
290A	28	Bad egg	No
290B	35	Bad egg	No
290D	35	Bad egg	No
290E	28	Bad egg	No
290F	35	Bad egg	No
2910	35	Bad egg	No
2911	35	Bad egg	No
2912	35	Bad egg	No
2917	36	Bad egg	No
291F	37	Bad egg	No
2928	37	Bad egg	No
292A	35	Bad egg	No
292B	35	Bad egg	No
292C	35	Bad egg	No
292D	35	Bad egg	No
292E	35	Invisible bad egg	No
292F	35	Invisible bad egg	No
2931	35	Bad egg	No
2932	36	Bad egg	No
2934	35	Bad egg	No
2938	28	Bad egg	No
293C	35	Invisible bad egg	No
293D	35	Bad egg	No
293E	35	Bad egg	No
293F	35	Invisible bad egg	No
2940	35	Invisible bad egg	No
2941	35	Invisible bad egg	No
2942	35	Invisible bad egg	No
2943	36	Bad egg	No
2944	35	Invisible bad egg	No
2945	35	Bad egg	No
2946	35	Bad egg	No
2949	36	Bad egg	No
294A	37	Bad egg	No
294B	37	Bad egg	No
294C	35	Bad egg	No
2951	37	Bad egg	No
2952	37	Bad egg	No
2957	28	Bad egg	No
2958	36	Bad egg	No
295B	37	Bad egg	No
295C	37	Bad egg	No
295D	35	Bad egg	No
295F	36	Bad egg	No
2960	35	Bad egg	No
2961	35	Bad egg	No
2962	35	Bad egg	No
2963	35	Bad egg	No
2964	35	Bad egg	No
2965	35	Bad egg	No
2966	35	Bad egg	No
2967	35	Bad egg	No
2968	35	Bad egg	No
2969	35	Bad egg	No
296C	37	Bad egg	No
2970	35	Bad egg	No
2972	37	Bad egg	No
2973	35	Bad egg	No
2976	36	Bad egg	No
2977	35	Bad egg	No
2978	35	Bad egg	No
2979	35	Bad egg	No
297A	35	Bad egg	No
297B	35	Bad egg	No
297C	35	Bad egg	No
297D	35	Bad egg	No
297E	35	Bad egg	No
297F	35	Bad egg	No
2980	35	Bad egg	No
2981	35	Bad egg	No
2982	35	Bad egg	No
2984	35	Bad egg	No
298D	35	Bad egg	No
298E	35	Bad egg	No
298F	36	Bad egg	No
2990	35	Bad egg	No
2993	35	Bad egg	No
2994	35	Bad egg	No
2995	35	Bad egg	No
2997	36	Bad egg	No
2999	37	Bad egg	No
29A4	35	Bad egg	No
29A5	35	Invisible bad egg	No
29A7	28	Bad egg	No
29A8	37	Invisible bad egg	No
29AA	35	Bad egg	No
29AB	35	Bad egg	No
29AC	35	Bad egg	No
29AD	35	Bad egg	No
29AE	35	Bad egg	No
29AF	36	Bad egg	No
29B0	35	Invisible bad egg	No
29B1	35	Bad egg	No
29B2	35	Bad egg	No
29B3	35	Bad egg	No
29B4	35	Bad egg	No
29B5	36	Bad egg	No
29B6	36	Bad egg	No
29B7	35	Bad egg	No
29B8	37	Bad egg	No
29B9	36	Invisible bad egg	No
29C2	28	Invisible bad egg	No
29C3	28	Bad egg	No
29C7	35	Bad egg	No
29C8	35	Bad egg	No
29C9	28	Bad egg	No
29CA	28	Bad egg	No
29CB	28	Bad egg	No
29CD	35	Bad egg	No
29CE	35	Bad egg	No
29CF	35	Bad egg	No
29D0	35	Bad egg	No
29D1	28	Bad egg	No
29D3	35	Bad egg	No
29D4	35	Bad egg	No
29D5	35	Bad egg	No
29D6	36	Bad egg	No
29D7	37	Bad egg	No
29D9	35	Invisible bad egg	No
29DA	35	Bad egg	No
29DB	37	Invisible bad egg	No
29DC	28	Invisible bad egg	No
29DF	37	Invisible bad egg	No
29E6	20	Bad egg	No
29E7	4E	Bad egg	No
29EC	20	Bad egg	No
29F2	20	Bad egg	No
29F8	24	Bad egg	No
29FE	24	Bad egg	No
2A04	24	Bad egg	No
2A09	4E	Bad egg	No
2A0F	4F	Bad egg	No
2A15	4F	Bad egg	No
2A1B	4F	Bad egg	No
2A21	4F	Bad egg	No
2A26	20	Bad egg	No
2A27	4E	Bad egg	No
2A2C	20	Bad egg	No
2A32	20	Bad egg	No
2A38	24	Bad egg	No
2A3E	24	Bad egg	No
2A44	24	Bad egg	No
2A49	4E	Bad egg	No
2A4F	4F	Bad egg	No
2A55	4F	Bad egg	No
2A9F	06	Nothing	No
2AA0	0B	Nothing	No
2AA2	0B	Nothing	No
2AA3	0B	Nothing	No
2AA4	18	Nothing	No
2AA5	0B	Nothing	No
2AA6	24	Nothing	No
2AA7	2A	Nothing	No
2AA8	2A	Nothing	No
2AA9	0B	Nothing	No
2AAD	43	Nothing	No
2AAE	49	Nothing	No
2AAF	51	Nothing	No
2AB0	0B	Nothing	No
2AB2	0B	Nothing	No
2AB3	0B	Nothing	No
2CA7	11	Bad egg	No
2CA8	11	Bad egg	No
2CA9	11	Bad egg	No
2CB0	11	Invisible bad egg	No
2CB1	11	Invisible bad egg	No
2CB2	11	Invisible bad egg	No
2CB3	11	Invisible bad egg	No
2CB4	11	Bad egg	No
2CB5	11	Bad egg	No
2CB6	11	Bad egg	No
2CB7	11	Bad egg	No
2CB8	11	Bad egg	No
2CB9	11	Bad egg	No
2CBA	11	Bad egg	No
2CBB	11	Bad egg	No
2CBC	11	Bad egg	No
2CBD	11	Bad egg	No
2CBE	11	Bad egg	No
2CBF	11	Bad egg	No
2CC0	11	Bad egg	No
2CFA	30	Bad egg	No
2CFB	86	Bad egg	No
2CFC	34	Bad egg	No
2D00	30	Bad egg	No
2D01	95	Bad egg	No
2D06	38	Bad egg	No
2D07	94	Bad egg	No
2D0C	38	Bad egg	No
2D0D	83	Bad egg	No
2E39	20	Nothing	No
2E3A	20	Nothing	No
2E3B	20	Nothing	No
2E3C	20	Nothing	No
2E3D	20	Nothing	No
2E3E	20	Nothing	No
2E3F	20	Nothing	No
2E40	20	Nothing	No
2E41	20	Nothing	No
2E42	28	Nothing	No
2E43	21	Nothing	No
2E44	20	Nothing	No
2E45	20	Nothing	No
2E46	28	Nothing	No
2E47	2A	Nothing	No
2E48	2B	Nothing	No
2E49	2B	Nothing	No
2E4A	20	Nothing	No
2E4B	28	Nothing	No
2E4C	21	Nothing	No
2E4D	21	Nothing	No
2E4E	29	Nothing	No
2E4F	29	Nothing	No
2E50	28	Invisible bad egg	No
2E51	21	Invisible bad egg	No
2E52	29	Invisible bad egg	No
2E53	29	Invisible bad egg	No
2E54	29	Bad egg	No
2E55	28	Bad egg	No
2E56	28	Bad egg	No
2E57	21	Bad egg	No
2E58	29	Bad egg	No
2E59	29	Bad egg	No
2E5A	28	Bad egg	No
2E5B	27	Bad egg	No
2E5C	21	Bad egg	No
2E5D	21	Bad egg	No
2E5E	29	Bad egg	No
2E5F	29	Bad egg	No
2E60	28	Bad egg	No
2E61	28	Bad egg	No
2E62	21	Bad egg	No
2E63	21	Bad egg	No
2E64	29	Bad egg	No
2E65	29	Bad egg	No
2E66	28	Bad egg	No
2E67	28	Bad egg	No
2E68	21	Bad egg	No
2E69	29	Bad egg	No
2E6A	29	Bad egg	No
2E6B	29	Bad egg	No
2E6C	27	Bad egg	No
2E6D	28	Bad egg	No
2E6E	21	Bad egg	No
2E6F	29	Bad egg	No
2E70	29	Bad egg	No
2E71	29	Bad egg	No
2E72	28	Bad egg	No
2E73	20	Bad egg	No
2E74	21	Bad egg	No
2E75	27	Bad egg	No
2E76	2B	Bad egg	No
2E77	29	Bad egg	No
2E78	29	Bad egg	No
2E79	20	Bad egg	No
2E7A	28	Bad egg	No
2E7B	28	Bad egg	No
2E7C	2B	Bad egg	No
2E7D	2B	Bad egg	No
2E7E	2B	Bad egg	No
2E7F	20	Bad egg	No
2E80	20	Bad egg	No
2E81	28	Bad egg	No
2E82	2A	Bad egg	No
2E83	28	Bad egg	No
2E84	20	Bad egg	No
2E85	20	Bad egg	No
2E86	20	Bad egg	No
2E87	20	Bad egg	No
2E88	20	Bad egg	No
2E89	20	Bad egg	No
2E8A	20	Bad egg	No
2E8B	2B	Bad egg	No
2E8C	20	Bad egg	No
2E8D	28	Bad egg	No
2E8E	2B	Bad egg	No
2E8F	20	Bad egg	No
2E90	20	Bad egg	No
2E91	2B	Bad egg	No
2E92	28	Bad egg	No
2E93	20	Bad egg	No
2E94	2B	Bad egg	No
2E95	20	Bad egg	No
2E96	20	Bad egg	No
2E97	20	Bad egg	No
2E98	20	Bad egg	No
2E99	20	Bad egg	No
2E9A	20	Bad egg	No
2E9B	28	Bad egg	No
2E9C	2B	Bad egg	No
2E9D	21	Bad egg	No
2E9E	29	Bad egg	No
2E9F	21	Bad egg	No
2EA0	29	Bad egg	No
2EA1	27	Bad egg	No
2EA2	21	Bad egg	No
2EA3	29	Bad egg	No
2EA4	29	Bad egg	No
2EA5	29	Bad egg	No
2EA6	29	Bad egg	No
2EA7	29	Bad egg	No
2EA8	29	Bad egg	No
2EA9	29	Bad egg	No
2EAA	29	Bad egg	No
2EAB	27	Bad egg	No
2EAC	29	Bad egg	No
2EAD	27	Bad egg	No
2EAE	27	Bad egg	No
2EAF	28	Bad egg	No
2EB0	25	Bad egg	No
2EB1	25	Bad egg	No
2EB2	25	Bad egg	No
2EB3	27	Bad egg	No
2EB4	27	Bad egg	No
2EB5	28	Bad egg	No
2EB6	25	Bad egg	No
2EB7	25	Bad egg	No
2EB8	25	Bad egg	No
2EB9	27	Bad egg	No
2EBA	27	Bad egg	No
2EBB	28	Bad egg	No
2EBC	25	Bad egg	No
2EBD	25	Bad egg	No
2EBE	25	Bad egg	No
2EBF	27	Bad egg	No
2EC0	27	Bad egg	No
2EC1	25	Bad egg	No
2EC2	25	Bad egg	No
2EC3	25	Bad egg	No
2EC4	27	Bad egg	No
2EC5	27	Bad egg	No
2EC6	27	Bad egg	No
2EC7	25	Bad egg	No
2EC8	25	Bad egg	No
2EC9	25	Bad egg	No
2ECA	27	Bad egg	No
2ECB	27	Bad egg	No
2ECC	28	Bad egg	No
2ECD	25	Bad egg	No
2ECE	25	Bad egg	No
2ECF	25	Bad egg	No
2ED0	29	Bad egg	No
2ED1	27	Bad egg	No
2ED2	29	Bad egg	No
2ED3	29	Bad egg	No
2ED4	27	Bad egg	No
2ED5	29	Bad egg	No
2ED6	27	Bad egg	No
2ED7	29	Bad egg	No
2ED8	29	Bad egg	No
2ED9	29	Bad egg	No
2EDA	2F	Bad egg	No
2EDB	29	Bad egg	No
2EDC	21	Bad egg	No
2EDD	21	Bad egg	No
2EDE	27	Bad egg	No
2EDF	29	Bad egg	No
2EE0	21	Bad egg	No
2EE1	20	Bad egg	No
2EE2	20	Bad egg	No
2EE3	20	Bad egg	No
2EE4	20	Bad egg	No
2EE5	20	Bad egg	No
2EE6	20	Bad egg	No
2EE7	20	Bad egg	No
2EE8	28	Bad egg	No
2EE9	20	Bad egg	No
2EEA	28	Bad egg	No
2EEB	26	Bad egg	No
2EEC	20	Bad egg	No
2EED	20	Bad egg	No
2EEE	20	Bad egg	No
2EEF	26	Bad egg	No
2EF0	20	Bad egg	No
2EF1	2B	Bad egg	No
2EF2	28	Bad egg	No
2EF3	28	Bad egg	No
2EF4	20	Bad egg	No
2EF5	20	Bad egg	No
2EF6	2B	Bad egg	No
2EF7	20	Bad egg	No
2EF8	28	Bad egg	No
2EF9	21	Bad egg	No
2EFA	29	Bad egg	No
2EFB	29	Bad egg	No
2EFC	21	Bad egg	No
2EFD	29	Bad egg	No
2EFE	25	Bad egg	No
2EFF	29	Bad egg	No
2F00	29	Bad egg	No
2F01	25	Bad egg	No
2F02	2B	Bad egg	No
2F03	29	Bad egg	No
2F04	29	Bad egg	No
2F05	29	Bad egg	No
2F06	28	Bad egg	No
2F07	29	Bad egg	No
2F08	27	Bad egg	No
2F09	2B	Bad egg	No
2F0A	25	Bad egg	No
2F0B	25	Bad egg	No
2F0C	25	Bad egg	No
2F0D	25	Bad egg	No
2F0E	25	Bad egg	No
2F0F	25	Bad egg	No
2F10	25	Bad egg	No
2F11	25	Bad egg	No
2F12	25	Bad egg	No
2F13	25	Bad egg	No
2F14	25	Bad egg	No
2F15	25	Bad egg	No
2F16	25	Bad egg	No
2F17	25	Bad egg	No
2F18	25	Bad egg	No
2F19	25	Bad egg	No
2F1A	25	Bad egg	No
2F1B	25	Bad egg	No
2F1C	25	Bad egg	No
2F1D	25	Bad egg	No
2F1E	25	Bad egg	No
2F1F	25	Bad egg	No
2F20	25	Bad egg	No
2F21	25	Bad egg	No
2F22	25	Bad egg	No
2F23	25	Bad egg	No
2F24	25	Bad egg	No
2F25	25	Bad egg	No
2F26	25	Bad egg	No
2F27	25	Bad egg	No
2F28	25	Bad egg	No
2F29	25	Bad egg	No
2F2A	25	Bad egg	No
2F2B	25	Bad egg	No
2F2C	25	Bad egg	No
2F2D	29	Bad egg	No
2F2E	29	Bad egg	No
2F2F	27	Bad egg	No
2F30	29	Bad egg	No
2F31	28	Bad egg	No
2F32	28	Bad egg	No
2F33	29	Bad egg	No
2F34	29	Bad egg	No
2F35	29	Bad egg	No
2F36	29	Bad egg	No
2F37	29	Bad egg	No
2F38	29	Bad egg	No
2F39	29	Bad egg	No
2F3A	29	Bad egg	No
2F3B	21	Bad egg	No
2F3C	25	Bad egg	No
2F3D	26	Bad egg	No
2F3E	21	Bad egg	No
2F3F	20	Bad egg	No
2F40	20	Bad egg	No
2F41	2B	Bad egg	No
2F42	20	Bad egg	No
2F43	20	Bad egg	No
2F44	20	Bad egg	No
2F45	26	Bad egg	No
2F46	25	Bad egg	No
2F47	29	Bad egg	No
2F48	2B	Bad egg	No
2F49	20	Bad egg	No
2F4A	26	Bad egg	No
2F4B	20	Bad egg	No
2F4C	29	Bad egg	No
2F4D	2B	Bad egg	No
2F4E	20	Bad egg	No
2F4F	2B	Bad egg	No
2F50	28	Bad egg	No
2F51	20	Bad egg	No
2F52	20	Bad egg	No
2F53	2B	Bad egg	No
2F54	20	Bad egg	No
2F55	28	Bad egg	No
2F56	29	Bad egg	No
2F57	29	Bad egg	No
2F58	26	Bad egg	No
2F59	21	Bad egg	No
2F5A	29	Bad egg	No
2F5B	29	Bad egg	No
2F5C	25	Bad egg	No
2F5D	2B	Bad egg	No
2F5E	26	Bad egg	No
2F5F	2B	Bad egg	No
2F60	2B	Bad egg	No
2F61	26	Bad egg	No
2F62	29	Bad egg	No
2F63	27	Bad egg	No
2F64	29	Bad egg	No
2F65	28	Bad egg	No
2F66	28	Bad egg	No
2F67	25	Bad egg	No
2F68	25	Bad egg	No
2F69	25	Bad egg	No
2F6A	25	Bad egg	No
2F6B	25	Bad egg	No
2F6C	25	Bad egg	No
2F6D	25	Bad egg	No
2F6E	25	Bad egg	No
2F6F	25	Bad egg	No
2F70	25	Bad egg	No
2F71	25	Bad egg	No
2F72	25	Bad egg	No
2F73	25	Bad egg	No
2F74	25	Bad egg	No
2F75	25	Bad egg	No
2F76	25	Bad egg	No
2F77	25	Bad egg	No
2F78	25	Bad egg	No
2F79	25	Bad egg	No
2F7A	25	Bad egg	No
2F7B	25	Bad egg	No
2F7C	25	Bad egg	No
2F7D	25	Bad egg	No
2F7E	25	Bad egg	No
2F7F	25	Bad egg	No
2F80	25	Bad egg	No
2F81	25	Bad egg	No
2F82	25	Bad egg	No
2F83	25	Bad egg	No
2F84	25	Bad egg	No
2F85	25	Bad egg	No
2F86	25	Bad egg	No
2F87	25	Bad egg	No
2F88	25	Bad egg	No
2F89	25	Bad egg	No
2F8A	28	Bad egg	No
2F8B	29	Bad egg	No
2F8C	27	Bad egg	No
2F8D	29	Bad egg	No
2F8E	25	Bad egg	No
2F8F	27	Bad egg	No
2F90	29	Bad egg	No
2F91	25	Bad egg	No
2F92	2B	Bad egg	No
2F93	2B	Bad egg	No
2F94	2A	Bad egg	No
2F95	2B	Bad egg	No
2F96	21	Bad egg	No
2F97	2B	Bad egg	No
2F98	2B	Bad egg	No
2F99	29	Bad egg	No
2F9A	29	Bad egg	No
2F9B	29	Bad egg	No
2F9C	2B	Bad egg	No
2F9D	20	Bad egg	No
2F9E	20	Bad egg	No
2F9F	28	Bad egg	No
2FA0	20	Bad egg	No
2FA1	20	Bad egg	No
2FA2	2B	Bad egg	No
2FA3	2B	Bad egg	No
2FA4	28	Bad egg	No
2FA5	2B	Bad egg	No
2FA6	2B	Bad egg	No
2FA7	2B	Bad egg	No
2FA8	26	Bad egg	No
2FA9	25	Bad egg	No
2FAA	2B	Bad egg	No
2FAB	28	Bad egg	No
2FAC	28	Bad egg	No
2FAD	28	Bad egg	No
2FAE	21	Bad egg	No
2FAF	20	Bad egg	No
2FB0	2B	Bad egg	No
2FB1	20	Bad egg	No
2FB2	20	Bad egg	No
2FB3	29	Bad egg	No
2FB4	29	Bad egg	No
2FB5	29	Bad egg	No
2FB6	29	Bad egg	No
2FB7	29	Bad egg	No
2FB8	29	Bad egg	No
2FB9	29	Bad egg	No
2FBA	29	Bad egg	No
2FBB	29	Bad egg	No
2FBC	2B	Bad egg	No
2FBD	2B	Bad egg	No
2FBE	25	Bad egg	No
2FBF	29	Bad egg	No
2FC0	27	Bad egg	No
2FC1	29	Bad egg	No
2FC2	28	Bad egg	No
2FC3	27	Bad egg	No
2FC4	25	Bad egg	No
2FC5	25	Bad egg	No
2FC6	25	Bad egg	No
2FC7	25	Bad egg	No
2FC8	25	Bad egg	No
2FC9	25	Bad egg	No
2FCA	25	Bad egg	No
2FCB	25	Bad egg	No
2FCC	25	Bad egg	No
2FCD	25	Bad egg	No
2FCE	25	Bad egg	No
2FCF	25	Bad egg	No
2FD0	25	Bad egg	No
2FD1	25	Bad egg	No
2FD2	25	Bad egg	No
2FD3	25	Bad egg	No
2FD4	25	Bad egg	No
2FD5	25	Bad egg	No
2FD6	25	Bad egg	No
2FD7	25	Bad egg	No
2FD8	25	Bad egg	No
2FD9	25	Bad egg	No
2FDA	25	Bad egg	No
2FDB	25	Bad egg	No
2FDC	25	Bad egg	No
2FDD	25	Bad egg	No
2FDE	25	Bad egg	No
2FDF	25	Bad egg	No
2FE0	25	Bad egg	No
2FE1	25	Bad egg	No
2FE2	25	Bad egg	No
2FE3	25	Bad egg	No
2FE4	25	Bad egg	No
2FE5	25	Bad egg	No
2FE6	25	Bad egg	No
2FE7	27	Bad egg	No
2FE8	29	Bad egg	No
2FE9	28	Bad egg	No
2FEA	27	Bad egg	No
2FEB	29	Bad egg	No
2FEC	27	Bad egg	No
2FED	2B	Bad egg	No
2FEE	29	Bad egg	No
2FEF	29	Bad egg	No
2FF0	29	Bad egg	No
2FF1	29	Bad egg	No
2FF2	29	Bad egg	No
2FF3	29	Bad egg	No
2FF4	29	Bad egg	No
2FF5	29	Bad egg	No
2FF6	29	Bad egg	No
2FF7	29	Bad egg	No
2FF8	29	Bad egg	No
2FF9	21	Bad egg	No
2FFA	28	Bad egg	No
2FFB	20	Bad egg	No
2FFC	29	Bad egg	No
2FFD	20	Bad egg	No
2FFE	20	Bad egg	No
2FFF	25	Bad egg	No
3000	26	Bad egg	No
3001	28	Bad egg	No
3002	25	Bad egg	No
3003	27	Bad egg	No
3004	28	Bad egg	No
3005	28	Bad egg	No
3006	28	Bad egg	No
3007	28	Bad egg	No
3008	28	Bad egg	No
3009	28	Bad egg	No
300A	20	Bad egg	No
300B	21	Bad egg	No
300C	20	Bad egg	No
300D	20	Bad egg	No
300E	21	Bad egg	No
300F	20	Bad egg	No
3010	29	Bad egg	No
3011	29	Bad egg	No
3012	29	Bad egg	No
3013	29	Bad egg	No
3014	29	Bad egg	No
3015	29	Bad egg	No
3016	29	Bad egg	No
3017	2B	Bad egg	No
3018	2B	Bad egg	No
3019	2B	Bad egg	No
301A	2B	Bad egg	No
301B	26	Bad egg	No
301C	2B	Bad egg	No
301D	27	Bad egg	No
301E	28	Bad egg	No
301F	29	Bad egg	No
3020	27	Bad egg	No
3021	25	Bad egg	No
3022	25	Bad egg	No
3023	25	Bad egg	No
3024	28	Bad egg	No
3025	27	Bad egg	No
3026	27	Bad egg	No
3027	25	Bad egg	No
3028	25	Bad egg	No
3029	25	Bad egg	No
302A	28	Bad egg	No
302B	27	Bad egg	No
302C	21	Bad egg	No
302D	25	Bad egg	No
302E	25	Bad egg	No
302F	25	Bad egg	No
3030	28	Bad egg	No
3031	27	Bad egg	No
3032	27	Bad egg	No
3033	25	Bad egg	No
3034	25	Bad egg	No
3035	25	Bad egg	No
3036	28	Bad egg	No
3037	27	Bad egg	No
3038	27	Bad egg	No
3039	25	Bad egg	No
303A	25	Bad egg	No
303B	25	Bad egg	No
303C	27	Bad egg	No
303D	27	Bad egg	No
303E	27	Bad egg	No
303F	25	Bad egg	No
3040	25	Bad egg	No
3041	28	Bad egg	No
3042	27	Bad egg	No
3043	27	Bad egg	No
3044	27	Bad egg	No
3045	28	Bad egg	No
3046	21	Bad egg	No
3047	27	Bad egg	No
3048	29	Bad egg	No
3049	27	Bad egg	No
304A	2B	Bad egg	No
304B	2B	Bad egg	No
304C	21	Bad egg	No
304D	21	Bad egg	No
304E	29	Bad egg	No
304F	21	Bad egg	No
3050	29	Bad egg	No
3051	2B	Bad egg	No
3052	29	Bad egg	No
3053	29	Bad egg	No
3054	2B	Bad egg	No
3055	29	Bad egg	No
3056	20	Bad egg	No
3057	2B	Bad egg	No
3058	20	Bad egg	No
3059	21	Bad egg	No
305A	20	Bad egg	No
305B	20	Bad egg	No
3067	20	Bad egg	No
3068	20	Bad egg	No
3069	20	Bad egg	No
306A	20	Bad egg	No
306B	20	Bad egg	No
306C	20	Bad egg	No
306D	29	Bad egg	No
306E	29	Bad egg	No
306F	20	Bad egg	No
3070	20	Bad egg	No
3071	20	Bad egg	No
3072	20	Bad egg	No
3073	2B	Bad egg	No
3074	29	Bad egg	No
3075	29	Bad egg	No
3076	29	Bad egg	No
3077	20	Bad egg	No
3078	20	Invisible bad egg	No
3079	29	Bad egg	No
307A	29	Nothing	No
307B	28	Nothing	No
307C	29	Nothing	No
307D	29	Nothing	No
307E	29	Nothing	No
307F	27	Invisible bad egg	No
3080	27	Invisible bad egg	No
3081	28	Invisible bad egg	No
3082	29	Invisible bad egg	No
3083	29	Bad egg	No
3084	27	Bad egg	No
3085	27	Invisible bad egg	No
3086	27	Bad egg	No
3087	27	Bad egg	No
3088	28	Bad egg	No
3089	29	Bad egg	No
308A	21	Bad egg	No
308B	21	Bad egg	No
308C	27	Bad egg	No
308D	27	Bad egg	No
308E	27	Bad egg	No
308F	29	Bad egg	No
3090	21	Bad egg	No
3091	27	Bad egg	No
3092	27	Bad egg	No
3093	27	Bad egg	No
3094	28	Bad egg	No
3095	29	Bad egg	No
3096	21	Bad egg	No
3097	27	Bad egg	No
3098	27	Bad egg	No
3099	27	Bad egg	No
309A	29	Bad egg	No
309B	29	Bad egg	No
